"tool","domain","summary_organic_traffic","summary_organic_traffic_change","summary_organic_pages","summary_organic_pages_change","summary_cited_pages","summary_cited_pages_change","source_column","url","traffic","traffic_diff","traffic_direction","traffic_percent","keywords","llm_prompts","ref_domains","top_keyword","intent","source"
"Top Pages","putmeinthestory.com","39","-29.09%","5","+150%","2","+100%","","help.putmeinthestory.com/hc/en-us","39","-16","down","100.00","5","0","0","put me in the story","I","user inline paste 2026-06-29"
"Top Pages","putmeinthestory.com","39","-29.09%","5","+150%","2","+100%","","help.putmeinthestory.com/hc/en-us/articles/360027754011-Call-us","0","0","","< 0.01","1","0","0","n/a","n/a","user inline paste 2026-06-29"
"Top Pages","putmeinthestory.com","39","-29.09%","5","+150%","2","+100%","","www.putmeinthestory.com/personalized-books/i-love-you-honey-bunny.html","0","0","","< 0.01","1","0","0","n/a","n/a","user inline paste 2026-06-29"
"Top Pages","putmeinthestory.com","39","-29.09%","5","+150%","2","+100%","","help.putmeinthestory.com/hc/en-us/categories/360001711112-Contact-Us","0","0","","< 0.01","1","0","2","n/a","n/a","user inline paste 2026-06-29"
"Top Pages","putmeinthestory.com","39","-29.09%","5","+150%","2","+100%","","help.putmeinthestory.com/hc/en-us/requests/new","0","0","","< 0.01","1","0","0","n/a","n/a","user inline paste 2026-06-29"
