"domain","visibility","visibility_diff","estimated_traffic","traffic_diff","top_3","top_10","top_20","top_100","source"
"iseeme.com","49.038%","0","34.27","0","9","9","9","9","user inline paste 2026-06-30"
"storybug.com","21.232%","0","10.14","0","6","8","9","9","user inline paste 2026-06-30"
"wonderbly.com","16.385%","0","8.09","0","4","9","9","9","user inline paste 2026-06-30"
"hoorayheroes.com","9.133%","0","5.53","0","1","8","8","9","user inline paste 2026-06-30"
"dinkleboo.com","2.769%","0","1.37","0","0","2","8","8","user inline paste 2026-06-30"
"littleherolabs.com","0","0","0","0","0","0","0","0","user inline paste 2026-06-30"
"putmeinthestory.com","0","0","0","0","0","0","0","0","user inline paste 2026-06-30"
